"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"SOT8BUS","198306","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198307","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198308","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198309","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198310","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198311","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198312","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198313","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198401","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198402","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198403","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198404","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198405","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198406","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198407","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198408","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198409","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198410","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198411","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198412","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198413","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198501","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198502","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198503","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198504","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198505","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198506","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198507","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198508","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198509","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198510","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198511","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198512","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198513","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198601","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198602","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198603","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198604","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198605","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198606","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198607","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198608","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198609","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198610","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198611","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198612","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198613","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198701","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198702","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198703","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198704","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198705","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198706","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198707","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198708","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198709","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198710","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198711","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198712","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198713","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198801","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198802","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198803","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198804","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198805","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198806","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198807","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198808","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198809","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198810","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198811","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198812","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198813","Not Available","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198901","2.792","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198902","3.01","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198903","4.147","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198904","4.571","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198905","5.046","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198906","5.092","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198907","5.345","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198908","5.29","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198909","4.825","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198910","4.397","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198911","3.607","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198912","3.424","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","198913","51.546","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","199001","2.958","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","199002","3.189","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","199003","4.393","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","199004","4.842","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","199005","5.345","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","199006","5.394","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","199007","5.662","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","199008","5.603","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","199009","5.111","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","199010","4.658","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","199011","3.821","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","199012","3.627","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","199013","54.602","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","199101","3.051","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","199102","3.288","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","199103","4.531","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","199104","4.994","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","199105","5.513","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","199106","5.562","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","199107","5.839","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","199108","5.779","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
"SOT8BUS","199109","5.27","1","Small-Scale Solar Energy Consumption for Heat: Total","Trillion Btu"
